XM,SXZY,HDHD,CSD
144,39,1754,3469
145,39,1923,1804
146,39,1926,1688
147,39,2054,544
148,39,2221,648
149,39,2221,705
150,39,2302,62
151,39,2398,1498
152,39,2398,1603
153,39,2398,1632
154,39,2398,2155
155,39,2398,3159
156,39,2398,3691
157,39,2399,2844
158,39,2399,3156
159,40,313,1865
160,40,958,491
161,40,2109,2384
162,41,435,2641
163,41,783,532
164,41,1385,887
165,41,1836,3348
166,41,2097,55
167,42,615,284
168,42,756,2737
169,42,1131,2639
170,43,371,622
171,43,1499,217
172,43,1575,2283
173,43,1819,1100
174,43,1887,1936
175,44,307,718
176,44,528,2889
177,44,2177,1173
178,44,2249,2672
179,44,2368,2177
180,44,2374,1818
181,45,813,3251
182,45,1535,3064
183,46,1183,2062
184,46,1846,185
185,46,2062,2726
186,46,2227,3043
187,46,2305,3681
188,47,552,3135
189,47,716,620
190,47,1303,3143
191,48,1494,1718
192,48,1628,2013
193,48,1748,1702
194,48,1833,654
195,49,375,3547
196,49,940,1988
197,49,1015,3715
198,49,1604,2806
199,49,2506,2991
200,50,904,3605
201,50,1109,2027
202,50,1109,2596
203,50,1492,2671
204,51,1240,2074
205,52,533,2608
206,52,2197,1493
207,53,522,591
208,53,1507,1377
209,53,2433,1628
210,54,1385,2446
211,54,2178,3565
212,54,2237,770
213,55,116,3306
214,55,612,2466
215,55,1588,3023
216,55,1950,406
217,56,618,272
218,56,886,838
219,56,1641,3475
220,56,1816,980
221,56,2032,1461
222,57,751,3378
223,58,440,1385
224,58,1960,3129
225,58,2587,2054
226,59,259,2302
227,59,1842,39
228,59,1951,2892
229,60,151,3144
230,60,1483,1771
231,60,1576,912
232,60,1800,3694
233,60,1801,3691
234,60,1843,3378
235,61,567,1306
236,61,1070,1025
237,61,1942,2377
238,62,1109,2005
239,62,1201,178
240,62,2507,3204
241,62,2521,2159
242,63,615,154
243,63,1694,171
244,63,1764,2543
245,63,2100,148
246,63,2306,790
247,64,754,3583
248,64,933,2644
249,64,1129,1581
250,65,613,541
251,65,616,242
252,65,1857,165
253,65,1944,1803
254,66,686,239
255,66,769,1428
256,66,1382,2708
257,66,2028,2867
258,67,476,3194
259,67,2046,3283
260,68,12,3198
261,69,40,3641
262,69,2419,1895
263,70,827,787
264,70,1383,359
265,70,1948,799
266,71,630,2828
267,71,1098,3362
268,71,1432,2246
269,71,2605,3581
270,72,2221,3081
271,72,2299,2600
272,72,2560,967
273,73,340,3156
274,73,440,695
275,74,377,1130
276,74,1130,3230
277,74,1325,98
278,75,177,3577
279,75,645,2505
280,75,711,1079
281,75,1063,1032
282,75,2250,2672
283,76,1284,3002
284,76,1807,2419
285,77,808,706
286,77,1879,756
287,78,543,1613
288,78,898,638
289,79,72,2173
290,79,873,595
291,79,1389,3419
292,79,2118,3677
293,80,308,2253
294,80,1087,1485
295,80,1508,1440
296,80,1631,2069
297,81,989,1787
298,81,1852,3311
299,82,62,3535
300,82,571,996
301,82,1545,2644
302,83,181,1638
303,83,299,3353
304,83,428,2543
305,83,964,2928
306,83,1730,2654
307,84,174,2357
308,84,1323,3213
309,84,1544,2642
310,84,2264,2007
311,84,2493,1640
312,84,2598,2062
313,85,2253,1428
314,86,663,3703
315,86,1207,3735
316,87,1484,2104
317,87,2320,1675
318,87,2370,411
319,88,67,1725
320,88,157,3594
321,88,1842,1611
322,88,1907,444
323,88,1994,2075
324,88,2168,1764
325,88,2170,812
326,89,740,507
327,89,898,162
328,89,898,1058
329,89,1556,66
330,89,1736,1923
331,89,1847,758
332,90,663,1016
333,90,898,2535
334,91,527,3282
335,91,1223,3523
336,91,1759,3041
337,91,1960,621
338,92,295,2862
339,92,2098,1200
340,92,2398,1639
341,93,977,1969
342,93,1116,555
343,93,1468,1400
344,94,111,1082
345,94,524,3375
346,94,898,1160
347,95,889,1692
348,95,1049,3445
349,95,1064,2326
350,96,1080,957
351,96,1349,171
352,96,2535,858
353,97,528,1244
354,97,2237,1548
355,97,2548,2765
356,98,68,1483
357,98,286,1923
358,98,313,344
359,98,511,2652
360,98,525,2437
361,98,898,660
362,98,898,3159
363,98,987,3636
364,98,993,1826
365,98,1153,39
366,98,1364,2619
367,98,2221,1497
368,98,2221,1784
369,98,2221,3339
370,98,2562,39
371,99,484,415
372,99,1304,2172
373,99,1522,2463
374,100,84,3176
375,100,173,2188
376,100,525,3225
377,100,713,1945
378,100,716,3094
379,100,792,3358
380,100,898,163
381,100,898,930
382,100,898,2291
383,100,898,1974
384,100,1084,2645
385,100,1088,3143
386,100,1109,1965
387,100,1239,596
388,100,1358,17
389,100,1541,2412
390,100,1837,3372
391,100,1875,596
392,100,1876,3378
393,100,1876,3525
394,100,2081,3669
395,100,2197,1234
396,100,2221,910
397,100,2416,367
398,100,2446,1232
399,100,2499,1125
400,101,846,1345
401,101,1340,3488
402,101,1568,1021
403,101,2600,3324
404,102,296,3698
405,102,1570,1285
406,103,370,1359
407,103,575,1461
408,103,1772,3106
409,103,1945,4
410,103,2525,2392
411,104,688,1732
412,104,1040,2535
413,105,203,1763
414,105,241,2425
415,105,287,2434
416,105,322,1135
417,105,333,2102
418,105,380,2380
419,105,477,186
420,105,525,1851
421,105,652,39
422,105,672,3556
423,105,754,94
424,105,793,728
425,105,820,856
426,105,884,1076
427,105,898,1603
428,105,908,1107
429,105,1040,3354
430,105,1085,3672
431,105,1109,1987
432,105,1109,2015
433,105,1362,1789
434,105,1505,1000
435,105,1568,1575
436,105,1849,672
437,105,1961,3147
438,105,1965,2999
439,105,2012,2284
440,105,2197,1431
441,105,2197,1483
442,105,2197,1676
443,105,2197,3733
444,105,2316,2824
445,106,528,1578
446,106,793,3373
447,106,1240,3190
448,106,1285,2349
449,106,1314,3528
450,106,1684,463
451,106,1685,1920
452,106,2497,3162
453,107,2046,3626
454,107,2315,756
455,108,93,2604
456,108,825,1139
457,108,898,3525
458,108,933,3029
459,108,1085,1373
460,108,1240,2550
461,108,1564,3141
462,108,1751,2705
463,108,1775,950
464,108,1894,25
465,108,1987,48
466,108,2033,2651
467,108,2540,330
468,108,2563,52
469,109,898,596
470,109,2142,1945
471,110,2221,3589
472,111,821,2332
473,111,1059,24
474,111,1210,1516
475,111,1781,1220
476,111,2057,909
477,112,1318,46
478,112,1921,978
479,112,1966,616
480,113,352,589
481,113,386,714
482,113,795,1023
483,113,1625,2029
484,114,652,751
485,114,1104,141
486,114,1922,1201
487,115,1054,3016
488,116,400,1150
489,116,916,3024
490,116,1184,2911
491,117,375,3324
492,117,412,1889
493,117,434,326
494,117,1815,3636
495,117,2311,2730
496,118,218,913
497,118,357,1951
498,118,499,1672
499,118,767,2682
500,118,790,189
501,118,1160,3248
502,118,1484,2424
503,118,1928,2931
504,118,2389,3485
505,118,2512,1035
506,119,567,1572
507,119,1184,734
508,119,1743,3153
509,119,1904,842
510,119,2221,3672
511,120,33,1301
512,120,54,3494
513,120,389,2110
514,120,482,2402
515,121,538,1058
516,121,1252,3517
517,122,52,865
518,122,1961,558
519,123,443,3695
520,123,974,1285
521,123,1843,2481
522,123,2279,82
523,124,1124,3185
524,124,1576,1940
525,124,1749,925
526,124,2287,271
527,125,173,3303
528,125,342,2174
529,125,1352,3590
530,126,478,393
531,126,616,1234
532,126,995,3489
533,126,2191,3453
534,127,183,3537
535,127,318,1327
536,127,357,885
537,127,357,1433
538,127,357,3372
539,127,357,3469
540,127,357,3469
541,127,372,1020
542,127,538,206
543,127,538,1923
544,127,769,1032
545,127,1062,2247
546,127,1071,516
547,127,1071,3303
548,127,1170,2536
549,127,1576,2785
550,127,1576,2841
551,127,2068,1560
552,127,2155,1562
553,127,2217,3729
554,128,217,1988
555,128,361,1236
556,128,561,849
557,128,785,919
558,128,1880,107
559,128,2583,1388
560,129,32,758
561,129,735,158
562,129,1419,2285
563,129,1484,1428
564,129,1961,3076
565,129,2303,2940
566,129,2375,3676
567,130,1063,2351
568,131,201,92
569,131,864,1629
570,132,95,142
571,132,168,186
572,132,354,632
573,132,357,175
574,132,429,2906
575,132,538,355
576,132,548,2992
577,132,691,1958
578,132,944,335
579,132,985,2331
580,132,1055,3207
581,132,1109,1923
582,132,1346,233
583,132,1452,2609
584,132,1462,2437
585,132,1596,2573
586,132,1601,700
587,132,1837,2298
588,132,2069,435
589,132,2221,171
590,132,2221,2062
591,132,2342,1896
592,132,2474,2584
593,132,2486,1772
594,133,59,867
595,133,773,3326
596,133,1262,258
597,134,2250,758
598,135,51,721
599,135,59,672
600,135,285,2897
601,135,313,1273
602,135,313,2298
603,135,357,171
604,135,357,698
605,135,357,3358
606,135,357,2865
607,135,362,1524
608,135,470,861
609,135,538,1598
610,135,538,2298
611,135,538,2366
612,135,538,3537
613,135,566,2099
614,135,567,2107
615,135,692,540
616,135,692,2187
617,135,692,2975
618,135,692,3041
619,135,861,987
620,135,1109,2001
621,135,1272,3269
622,135,1463,179
623,135,1463,652
624,135,1463,969
625,135,1463,1234
626,135,1463,1602
627,135,1576,2051
628,135,1576,2799
629,135,1576,2861
630,135,1576,2922
631,135,1576,2930
632,135,1692,3008
633,135,1843,2645
634,135,1843,716
635,135,1898,137
636,135,1989,3101
637,135,2069,2970
638,135,2112,2027
639,135,2178,3565
640,135,2267,3676
641,135,2393,569
642,135,2491,1954
643,136,825,1834
644,136,1071,2458
645,136,1221,2367
646,137,1576,2592
647,137,1951,1417
648,138,120,3020
649,138,376,276
650,138,378,2958
651,138,2077,1689
652,139,32,1527
653,139,350,230
654,139,662,113
655,139,1271,2107
656,139,2070,3673
657,140,692,2911
658,140,1411,2111
659,140,1787,3282
660,140,2179,1416
661,140,2506,1015
662,141,84,1493
663,141,488,2587
664,141,516,2111
665,141,572,905
666,141,1256,2437
667,141,1463,1184
668,141,1504,2507
669,141,1518,2318
670,141,1717,3143
671,141,1738,2793
672,141,1741,1581
673,141,1843,633
674,141,1896,2003
675,141,1922,1629
676,141,1929,1902
677,141,2049,3263
678,141,2069,1629
679,141,2221,312
680,141,2221,2177
681,141,2221,3582
682,141,2299,943
683,141,2306,2355
684,141,2354,1234
685,141,2390,1855
686,141,2398,2046
687,142,408,3312
688,142,1837,532
689,143,914,1997
690,143,1363,3633
691,143,1547,1498
692,143,2409,3582
693,143,2492,3022
694,144,159,3685
695,144,362,1355
696,145,208,2492
697,145,692,1591
698,145,1978,1583
699,146,346,2332
700,146,357,1410
701,146,609,2235
702,146,944,1163
703,146,2219,279
704,146,2318,387
705,147,232,601
706,147,313,639
707,147,357,140
708,147,357,2515
709,147,405,3311
710,147,452,1484
711,147,472,2298
712,147,485,569
713,147,535,1902
714,147,669,1197
715,147,770,3372
716,147,784,930
717,147,1013,1887
718,147,1027,1917
719,147,1324,1629
720,147,1325,1672
721,147,1375,57
722,147,1463,2533
723,147,1501,1524
724,147,1576,2747
725,147,1703,2027
726,147,1722,3143
727,147,1843,1669
728,147,1854,1291
729,147,1961,569
730,147,1961,1384
731,147,1961,3043
732,147,1961,3132
733,147,1961,3458
734,147,1964,3122
735,147,1990,1471
736,147,1990,2931
737,147,1990,2977
738,147,2158,943
739,147,2178,2664
740,147,2178,3143
741,147,2178,3650
742,147,2197,1324
743,147,2221,2169
744,147,2221,2630
745,147,2343,2803
746,147,2353,3251
747,147,2398,65
748,147,2399,783
749,147,2400,3425
750,147,2517,2646
751,147,2547,1771
752,147,2588,165
753,148,270,2383
754,148,1711,943
755,148,1925,3427
756,148,2180,2130
757,149,156,3705
758,149,559,861
759,149,926,3179
760,150,1843,608
761,151,450,1360
762,151,1074,3070
763,151,1372,3428
764,151,1651,988
765,151,1935,3011
766,151,2331,539
767,152,251,2272
768,152,1463,275
769,153,430,3223
770,153,1326,3147
771,154,357,1478
772,154,1034,3109
773,154,1439,1200
774,154,2422,1024
775,155,62,3393
776,155,237,2260
777,155,313,2437
778,155,313,2573
779,155,418,1033
780,155,452,403
781,155,1484,1234
782,155,1801,1554
783,155,2287,1752
784,155,2330,39
785,155,2494,39
786,155,2559,1381
787,156,515,2059
788,156,777,2534
789,156,1825,1211
790,156,2492,1884
791,157,207,1962
792,157,540,2895
793,157,1096,1957
794,157,2580,3569
795,158,168,340
796,158,313,2038
797,158,522,3392
798,158,972,2278
799,158,1574,2211
800,158,1819,1319
801,159,210,3200
802,159,343,939
803,159,982,3251
804,159,1669,3423
805,159,1882,2689
806,160,598,913
807,160,971,699
808,160,1054,287
809,160,1132,716
810,160,1843,1052
811,160,2321,2340
812,161,195,3234
813,161,313,171
814,161,357,2772
815,161,357,3156
816,161,538,2334
817,161,770,801
818,161,770,1138
819,161,770,2318
820,161,770,3372
821,161,770,3380
822,161,1265,2754
823,161,1463,661
824,161,1484,2298
825,161,1572,3153
826,161,1576,969
827,161,1576,2442
828,161,1576,2728
829,161,1651,2668
830,161,1707,3249
831,161,1801,2573
832,161,1843,3372
833,161,1905,3687
834,161,2030,1789
835,161,2178,230
836,161,2306,45
837,161,2455,1930
838,161,2547,1808
839,161,2547,1816
840,162,742,3443
841,162,1484,1234
842,162,2077,1940
843,163,52,368
844,163,148,1656
845,163,2284,2202
846,164,6,2177
847,164,60,1771
848,164,118,1771
849,164,313,1234
850,164,313,3023
851,164,347,3565
852,164,357,1058
853,164,357,1850
854,164,357,2230
855,164,357,2803
856,164,357,3358
857,164,362,817
858,164,362,1011
859,164,362,2321
860,164,362,2721
861,164,473,3043
862,164,538,39
863,164,538,560
864,164,538,1983
865,164,538,2304
866,164,538,3154
867,164,562,2595
868,164,562,2649
869,164,582,1349
870,164,591,1579
871,164,636,1063
872,164,692,1627
873,164,692,1629
874,164,692,1954
875,164,692,3143
876,164,692,1636
877,164,770,712
878,164,770,3648
879,164,791,189
880,164,791,803
881,164,897,2991
882,164,1014,1891
883,164,1018,230
884,164,1071,494
885,164,1085,758
886,164,1085,998
887,164,1109,2046
888,164,1189,1917
889,164,1365,2002
890,164,1368,3372
891,164,1375,2083
892,164,1381,2678
893,164,1416,2448
894,164,1430,562
895,164,1463,1171
896,164,1463,1669
897,164,1501,2798
898,164,1576,1348
899,164,1576,2616
900,164,1576,2619
901,164,1576,2629
902,164,1576,2647
903,164,1576,2675
904,164,1576,2709
905,164,1576,2736
906,164,1576,2803
907,164,1576,2894
908,164,1576,2898
909,164,1576,2927
910,164,1576,3627
911,164,1580,2573
912,164,1614,259
913,164,1704,2012
914,164,1718,1508
915,164,1801,240
916,164,1816,1370
917,164,1843,569
918,164,1843,776
919,164,1843,2675
920,164,1843,3378
921,164,1881,2989
922,164,1929,1182
923,164,1929,1350
924,164,1929,2207
925,164,1961,2647
926,164,2069,939
927,164,2069,2437
928,164,2069,2533
929,164,2069,3525
930,164,2069,1309
931,164,2069,15
932,164,2069,1571
933,164,2080,1288
934,164,2178,70
935,164,2221,171
936,164,2221,1785
937,164,2221,2161
938,164,2221,3143
939,164,2221,3672
940,164,2221,938
941,164,2288,1816
942,164,2327,1687
943,164,2343,1043
944,164,2343,2430
945,164,2547,1891
946,164,2577,2708
947,164,2583,2518
948,165,1463,1098
949,165,1518,1333
950,165,2322,1344
951,166,303,1612
952,166,1461,2641
953,166,1648,3169
954,166,1686,3143
955,167,103,2073
956,167,323,685
957,168,576,3477
958,168,1164,248
959,168,1273,2694
960,168,1319,2791
961,168,2267,2533
962,168,2573,21
963,169,201,2437
964,169,283,1220
965,170,1225,2603
966,170,1342,2983
967,170,1410,335
968,170,1487,111
969,171,198,703
970,171,240,1432
971,171,379,1085
972,171,1336,1608
973,171,1694,2340
974,171,2370,3362
975,172,316,391
976,172,1424,2072
977,172,1432,326
978,172,2548,3114
979,173,357,2977
980,173,479,341
981,173,752,3159
982,173,791,1058
983,173,1896,3523
984,174,1844,159
985,174,2446,131
986,175,244,1705
987,175,702,930
988,176,805,3159
989,176,1085,3686
990,176,1306,250
991,177,308,1578
992,177,413,1318
993,177,516,2249
994,178,1222,1719
995,178,1779,1528
996,178,1897,3525
997,179,1565,269
998,179,2057,1841
999,180,572,976
1000,180,772,3078
1001,180,1150,2972
1002,180,1576,2890
1003,180,1597,920
1004,180,1691,2736
1005,180,1728,1949
1006,180,1752,728
1007,180,2252,2444
1008,180,2545,1853
1009,181,3,2313
1010,181,217,71
1011,181,618,1265
1012,181,1840,1032
1013,181,2554,3620
1014,182,934,1112
1015,182,1277,912
1016,182,1639,3628
1017,182,2400,801
1018,183,15,672
1019,183,133,1556
1020,183,307,2033
1021,183,336,1079
1022,183,601,1657
1023,183,798,3159
1024,183,1444,2807
1025,183,1623,2783
1026,183,1824,1194
1027,183,2398,560
1028,183,2398,1198
1029,183,2398,3156
1030,184,1398,1395
1031,184,1695,714
1032,185,253,2336
1033,185,591,230
1034,185,1599,2947
1035,186,221,1744
1036,186,382,3384
1037,186,1135,1717
1038,187,372,1103
1039,187,2197,269
1040,187,2253,2461
1041,188,17,2573
1042,188,76,3220
1043,188,130,833
1044,188,165,1236
1045,188,177,2772
1046,188,248,62
1047,188,290,2483
1048,188,355,1384
1049,188,355,2445
1050,188,357,79
1051,188,357,1155
1052,188,357,2885
1053,188,357,3501
1054,188,386,922
1055,188,538,129
1056,188,538,1163
1057,188,538,2437
1058,188,538,2439
1059,188,579,1873
1060,188,638,2945
1061,188,745,1272
1062,188,786,1288
1063,188,791,857
1064,188,799,1166
1065,188,928,187
1066,188,937,1311
1067,188,1099,2168
1068,188,1152,224
1069,188,1199,124
1070,188,1201,147
1071,188,1214,1314
1072,188,1215,3325
1073,188,1267,2177
1074,188,1277,1067
1075,188,1283,1623
1076,188,1307,3499
1077,188,1334,3114
1078,188,1394,3176
1079,188,1481,2423
1080,188,1481,2623
1081,188,1557,3356
1082,188,1602,2692
1083,188,1602,2761
1084,188,1602,2773
1085,188,1602,2803
1086,188,1602,2891
1087,188,1602,914
1088,188,1603,1139
1089,188,1604,2768
1090,188,1633,1772
1091,188,1640,2595
1092,188,1654,1431
1093,188,1655,560
1094,188,1656,560
1095,188,1659,1670
1096,188,1670,105
1097,188,1742,2315
1098,188,1801,3247
1099,188,1830,1058
1100,188,1929,3188
1101,188,1998,2851
1102,188,2055,2325
1103,188,2080,317
1104,188,2216,3469
1105,188,2226,2645
1106,188,2283,1297
1107,188,2340,2713
1108,188,2394,3156
1109,188,2398,284
1110,188,2398,784
1111,188,2398,807
1112,188,2398,1107
1113,188,2398,2543
1114,188,2398,2575
1115,188,2398,2873
1116,188,2398,2949
1117,188,2398,3028
1118,188,2398,3611
1119,188,2398,3729
1120,188,2399,1234
1121,188,2400,1058
1122,188,2400,1081
1123,188,2400,1160
1124,188,2400,1234
1125,188,2400,2226
1126,188,2402,1171
1127,188,2406,171
1128,188,2543,2295
1129,188,2547,90
1130,188,2547,1744
1131,188,2547,3559
1132,188,2583,525
1133,188,2583,1412
1134,188,2583,3678
1135,189,1284,1633
1136,190,313,1186
1137,190,1316,1616
1138,190,2600,3689
1139,191,705,2324
1140,191,992,1413
1141,191,1602,2705
1142,192,538,1962
1143,192,630,3025
1144,192,934,2661
1145,192,2275,1769
1146,193,673,3081
1147,193,2395,2324
1148,194,28,3137
1149,194,140,3539
1150,194,227,2869
1151,194,945,3543
1152,194,1564,1679
1153,194,1694,812
1154,195,448,658
1155,195,528,2150
1156,195,1828,2962
1157,195,1912,2676
1158,195,2205,968
1159,195,2398,53
1160,196,642,964
1161,196,788,679
1162,196,789,647
1163,196,2101,250
1164,196,2396,3358
1165,197,788,1872
1166,197,1602,885
1167,197,1602,2906
1168,198,313,171
1169,198,678,3327
1170,199,932,2693
1171,199,1881,473
1172,199,2400,2984
1173,200,602,2572
1174,200,1387,1994
1175,200,2400,1058
1176,201,845,1969
1177,201,1293,3456
1178,201,1785,3285
1179,201,1979,3025
1180,202,313,1967
1181,202,323,3547
1182,202,479,2322
1183,202,1064,2766
1184,202,1065,1011
1185,202,2594,772
1186,203,277,2783
1187,203,796,834
1188,203,1539,1851
1189,203,1981,1772
1190,203,1986,3723
1191,203,2422,2614
1192,204,846,770
1193,204,1310,508
1194,204,1550,137
1195,204,2223,2568
1196,204,2284,1390
1197,205,762,3593
1198,205,1095,1551
1199,205,1484,3672
1200,205,1609,2789
1201,205,2221,3600
1202,205,2480,2328
1203,206,456,3007
1204,206,1501,3653
1205,207,1226,3408
1206,207,1398,3327
1207,207,2052,2025
1208,207,2254,566
1209,208,2059,919
1210,209,1580,1516
1211,209,1801,3217
1212,210,223,2437
1213,210,553,2447
1214,210,578,2437
1215,210,624,589
1216,210,625,2475
1217,210,737,3024
1218,210,1144,2820
1219,210,1419,2445
1220,210,1808,3221
1221,210,1808,3273
1222,210,2317,863
1223,210,2422,2436
1224,210,2422,3036
1225,211,1322,364
1226,211,1874,2841
1227,211,2005,28
1228,212,401,2432
1229,212,625,3176
1230,212,2267,3647
1231,212,2291,2266
1232,212,2312,816
1233,213,2422,2736
1234,214,1214,1254
1235,214,1261,3347
1236,214,1420,2467
1237,215,16,3386
1238,215,1261,1717
1239,215,1482,3665
1240,215,1545,3223
1241,215,1903,1025
1242,215,1904,2405
1243,216,128,1033
1244,216,1217,2002
1245,216,2274,676
1246,217,220,1786
1247,217,1170,28
1248,218,260,1351
1249,218,1147,3454
1250,218,1306,186
1251,218,1463,434
1252,218,1664,1340
1253,218,1908,1876
1254,218,2434,1816
1255,219,518,248
1256,219,1109,2010
1257,219,1161,3231
1258,219,2391,2272
1259,220,898,1914
1260,220,1918,1343
1261,220,2303,1767
1262,220,2398,452
1263,221,65,929
1264,221,167,1481
1265,221,2337,255
1266,222,884,2711
1267,222,1275,144
1268,222,1463,301
1269,222,1486,2707
1270,222,1681,2252
1271,222,1871,314
1272,222,1904,338
1273,222,1943,2551
1274,222,1968,1178
1275,222,2025,1442
1276,222,2507,405
1277,222,2568,271
1278,223,470,1273
1279,223,616,228
1280,224,25,3672
1281,224,634,872
1282,224,784,883
1283,224,1398,2445
1284,224,2221,39
1285,225,2236,291
1286,225,2556,217
1287,226,83,1660
1288,226,347,2385
1289,226,1036,3173
1290,226,2258,3297
1291,226,2437,1664
1292,227,692,171
1293,227,831,1876
1294,227,1151,3387
1295,228,708,321
1296,228,1946,2143
1297,228,2137,612
1298,229,318,3282
1299,229,1788,1709
1300,229,1843,661
1301,230,56,2714
1302,230,313,2349
1303,230,553,2039
1304,230,565,1771
1305,230,1179,517
1306,230,1801,3286
1307,230,1961,374
1308,230,2069,705
1309,230,2069,2533
1310,230,2244,3372
1311,231,1843,3378
1312,232,573,646
1313,232,1223,2023
1314,232,2069,2340
1315,233,243,3734
1316,233,474,1774
1317,233,1629,1491
1318,233,1694,3369
1319,233,2069,1035
1320,233,2515,3052
1321,234,258,718
1322,234,473,1601
1323,235,382,3696
1324,235,445,104
1325,235,692,3614
1326,235,1304,1612
1327,235,2518,1948
1328,236,482,683
1329,236,594,229
1330,236,973,1822
1331,236,1017,1780
1332,236,1409,276
1333,236,1956,902
1334,236,2178,2215
1335,236,2221,2430
1336,237,596,257
1337,237,1455,648
1338,237,2580,778
1339,238,256,657
1340,238,642,660
1341,238,1448,2777
1342,238,1799,13
1343,238,2085,1799
1344,239,797,2555
1345,239,1211,64
1346,239,1447,2573
1347,240,1074,3560
1348,240,1273,945
1349,240,1617,780
1350,240,2204,2675
1351,240,2563,504
1352,241,2221,2437
1353,242,589,36
1354,242,726,62
1355,242,1602,1589
1356,242,1790,2892
1357,243,49,3525
1358,243,1929,1672
1359,243,2433,2573
1360,244,1732,2119
1361,244,1763,1413
1362,245,1240,171
1363,245,1261,2975
1364,245,2011,781
1365,246,600,769
1366,246,1063,1623
1367,246,2005,201
1368,247,313,171
1369,247,1836,1429
1370,248,313,3146
1371,248,410,2190
1372,248,862,3272
1373,248,2141,559
1374,248,2249,73
1375,248,2259,2536
1376,249,33,1095
1377,249,1593,487
1378,249,2373,2703
1379,249,2430,2414
1380,249,2502,2549
1381,250,1297,1130
1382,250,1534,1010
1383,250,2328,807
1384,251,101,3656
1385,251,126,1238
1386,251,897,1260
1387,251,967,865
1388,251,1207,3079
1389,251,1833,3700
1390,252,381,313
1391,252,780,3159
1392,252,1967,616
1393,253,833,1281
1394,253,964,122
1395,253,2146,3128
1396,254,132,2464
1397,254,310,775
1398,254,351,3317
1399,254,362,3156
1400,254,1943,820
1401,255,313,1157
1402,255,355,1163
1403,255,355,1222
1404,255,355,3093
1405,255,357,1157
1406,255,362,72
1407,255,554,596
1408,255,692,2369
1409,255,770,3372
1410,255,800,2134
1411,255,1014,1789
1412,255,1109,2027
1413,255,1109,2036
1414,255,1109,2046
1415,255,1109,2885
1416,255,1125,1182
1417,255,1125,1938
1418,255,1125,1965
1419,255,1125,2747
1420,255,1133,33
1421,255,1178,2151
1422,255,1337,2988
1423,255,1554,3517
1424,255,1602,2685
1425,255,1689,1313
1426,255,1723,171
1427,255,1892,2027
1428,255,2008,3153
1429,255,2009,2173
1430,255,2185,56
1431,255,2221,1247
1432,255,2422,2924
1433,255,2583,358
1434,256,362,1040
1435,256,968,2656
1436,256,1522,931
1437,256,2151,186
1438,257,1085,1731
1439,257,2568,1126
1440,258,369,3009
1441,258,511,1285
1442,258,538,169
1443,258,1175,1008
1444,258,1945,2802
