LY,ND,TM,DYZZ,TXZZ,QBZZ,CBS,NFJM,FBSJ
植保学会科技奖,2020,"Sublethal effects of spinetoram on the two-spotted spider mite, Tetranychus urticae (Acari: Tetranychidae)",王玲,王少丽,张友军；谢文；吴青君,Pesticide Biochemistry and Physiology,2106年132卷102-107页,
植保学会科技奖,2020,"Status of pesticide resistance and associated mutations in the two-spotted spider mite, Tetranychus urticae, in China",徐丹丹,王少丽,何艳艳；张友军；谢文；吴青君,Pesticide Biochemistry and Physiology,2018年150卷89-96页,
植保学会科技奖,2020,The performance of Tetranychus urticae on five melon cultivars is correlated with leaf thickness,徐丹丹,王少丽,王克；张雅婷；王怀松；吴青君,Systematic and Applied Acarology,2019年24卷4期645-658页,
植保学会科技奖,2020,二斑叶螨田间种群对阿维菌素的抗性及抗性相关基因表达分析,刘贻聪,王少丽,王玲；张友军；谢文；吴青君,昆虫学报,2016年59卷11期1199-1205页,
植保学会科技奖,2020,联肼+乙螨唑对蔬菜优势叶螨产卵发育的影响及其田间防效,乔晓芳,王少丽,徐丹丹；张友军；徐宝云,植物保护学报,2019年46卷6期11310-1315页,
植保学会科技奖,2020,二斑叶螨对阿维菌素抗性的CAPS标记,徐丹丹,王少丽,张友军；谢文；吴青君,植物保护学报,2018年45卷4期782-787页,
植保学会科技奖,2020,间作大蒜对茄子截形叶螨的防控效果,王玲,王少丽,张友军；吴青君；谢文；刘贻聪,植物保护学报,2016年43卷6期995-1000页,
植保学会科技奖,2020,Bioactive spirobisnaphthalenes from the endophytic fungus Berkleasmium sp.,单体江；田晋,周立刚；王明安,王晓晗；牟燕；毛子翎；赖道万；戴均贵；彭友良,Journal of Natural Products,2014年77卷10期2151-2160页,
植保学会科技奖,2020,In site bioimaging of hydrogen sulfide uncovers its pivotal role in regulating nitric oxide-induced lateral root formation,李艳军；陈健,陈健；甘立军；石志琦,周立刚；韩凤祥,PLoS ONE,2014年9卷2期e90340页,
植保学会科技奖,2020,Essential oil composition and larvicidal activity of Saussurea lappa roots against the mosquito Aedes albopictus (Diptera: Culicidae),刘志龙,刘志龙,何清；褚莎莎；王成芳；杜树山；邓志威,Parasitology Research,2012年110卷6期2125-2130页,
植保学会科技奖,2020,"Feeding deterrents from Aconitum episcopale roots against the red flour beetle, Tribolium castaneum",刘志龙,刘志龙；杜树山,曹杰；张海鸣；林莉莉；刘慧娟；周立刚；邓志威,Journal of Agricultural and Food Chemistry,2011年59卷8期3701-3706页,
植保学会科技奖,2020,Repellent constituents of essential oil of Cymbopogon distans aerial parts against two stored-product insects,张劲松,刘志龙,赵娜娜；刘奇志；杜树山；周立刚；邓志威,Journal of Agricultural and Food Chemistry,2011年59卷18期9910-9915页,
植保学会科技奖,2020,Evaluation of toxicities of some common spices essential oils from China against Liposcelis bostrychophila,赵娜娜,刘志龙；杜树山,周立刚；邓志威,Food Control,2012年26卷2期486-490页,
植保学会科技奖,2020,Larvicidal activity of the essential oil from Tetradium glabrifolium fruits and its constituents against Aedes albopictus,刘昕超,刘志龙,刘起勇；陈旭波；周立刚 ,Pest Management Science,2015年71卷11期1582-1586页,
植保学会科技奖,2020,"Aggregate cell suspension cultures of Tripterygium wilfordii Hook.f. for triptolide, wilforgine, and wilforine production",缪国鹏；祝传书,张兴,冯俊涛；韩娟；宋晓伟,"Plant Cell, Tissue and Organ Culture",2013年112卷1期109-116页,
植保学会科技奖,2020,Comparative genomics reveal pathogenicity-related loci in Pseudomonas syringae  pv. actinidiae biovar 3,赵志博,黄丽丽,陈霁良；高小宁；张迪；张晋龙；温晶；秦虎强；郭明,Molecular Plant Pathology,2019年20卷7期923-942页,
植保学会科技奖,2020,"Phenotypic and Genetic Characterization of Botrytis cinerea population from kiwifruit in Sichuan Province, China",裴彦刚,龚国淑,陶琴君；郑小娟；李英；孙晓芳；李志飞；祁晓波；徐菁；张敏；陈华保；唐慧敏；隋立云,Plant Disease,2019年103卷4期748-758页,
植保学会科技奖,2020,"Studies on the infection, colonization, and movement of Pseudomonas syringae pv. Actinidiae in Kiwifruit tissues using a GFPuv-labeled strain",高小宁,黄丽丽,黄其玲；赵志博；韩青梅；柯希望；秦虎强,PLOS ONE,2016年,
植保学会科技奖,2020,Field detection of canker-causing bacteria on kiwifruit trees: Pseudomonas syringae pv. actinidiae is the major causal agent,赵志博,黄丽丽,高小宁；杨东和；秦虎强；康振生；王娜娜,Crop protection,2015年75卷55-62页,
植保学会科技奖,2020,四种杀菌剂防治猕猴桃溃疡病的效果及田间应用技术,秦虎强,黄丽丽,赵志博；高小宁；王强；杜培龙,植物保护学报,2016年43卷2期321-328页,
植保学会科技奖,2020,猕猴桃种质材料对褐斑病抗性评价,黄秀兰,龚国淑,崔永亮；徐菁；朱宇航；陈华保；常小丽；杨继芝,植物病理学报,2018年48卷5期138-142页,
植保学会科技奖,2020,贵长猕猴桃软腐病病原菌分离鉴定及其植物源杀菌剂室内筛选,石金巧,龙友华,黎晓茜；莫飞旭；冉飞；黄亚欣,福建农业学报,2019年34卷3期331-337页,
植保学会科技奖,2020,猕猴桃病虫害原色图谱与防治技术,龚国淑,,李庆；张敏；崔永亮,科学出版社,2020年2月,
植保学会科技奖,2020,Overexpression of wysR gene enhances wuyiencin production in ΔwysR3 mutant strain of Streptomyces albulus var. wuyiensis strain CK‐15,韦秋合,葛蓓孛,刘炳花；麻金金；施李鸣；张克诚,Journal of Applied Microbiology ,2020年,
植保学会科技奖,2020,"Improvement of Wuyiencin Biosynthesis in Streptomyces wuyiensis CK-15 by Identification of a Key Regulator, WysR",刘彦彦,张克诚,葛蓓孛；潘国辉；孙蕾,Journal of Microbiology and Biotechnology,2014年,
植保学会科技奖,2020,Identification of wysPII as an Activator of Morphological Development in Streptomyces albulus CK-15,刘炳花,张克诚,葛蓓孛；麻金金；韦秋合；施李鸣,Frontiers in Microbiology,2018年,
植保学会科技奖,2020,Characterization of novel DeoR-family member from the Streptomyces ahygroscopicus strain CK-15 that acts as a repressor of morphological,葛蓓孛,张克诚,刘艳；刘炳花；赵文珺,Applied microbiology and Biotechnology,2016年,
植保学会科技奖,2020,"Draft Genome Sequence of Streptomyces ahygroscopicus subsp. wuyiensis CK-15, Isolated from Soil in Fujian Province, China",葛蓓孛,张克诚,刘艳；刘炳花,Genome Announcements,2015年,
植保学会科技奖,2020,武夷菌素产生菌Fosmid文库的构建及文库探针的获得,檀贝贝,张克诚,孙蕾；杨振娟；武哲；张俊,生物技术通报,2011年,
植保学会科技奖,2020,不吸水链霉菌武夷变种CK-15遗传转化体系的探索及初建,杨振娟,张克诚,孙蕾；武哲；张俊；檀贝贝,生物技术通报,2012年,
植保学会科技奖,2020,武夷菌素高产基因工程菌发酵培养基的优化,葛蓓孛,张克诚,王家旺；刘彦彦；刘炳花,中国生物防治学报,2016年,
植保学会科技奖,2020,Minor Components Play an Important Role in Interspecific Recognition of Insects: A Basis to Pheromone Based Electronic Monitoring Tools for Rice Pests,陈庆华,杜永均,朱凤；田子华；张万民； 郭荣；  刘万才； 潘烈明,Insects,2018年9卷4期1-15页,
植保学会科技奖,2020,Optimization of the sex pheromone of the rice leaffolder moth Cnaphalocrocis medinalis as a monitoring tool in China,吴降星,杜永均,武向文；陈海滨；许燎原；刘桂良；毛必鹏；郭荣,Journal of Applied Entomology,2013年137卷7期509-518页,
植保学会科技奖,2020,利用昆虫性信息素防治水稻二化螟和稻纵卷叶螟应用技术,杜永均,杜永均,郭荣,中国植保导刊,2013年33卷11期39-42页,
植保学会科技奖,2020,稻显纹纵卷叶螟的形态特征及其与稻纵卷叶螟的比较,冯波,杜永均,尹勇；封传红；彭晓明；姜海平；郭荣,昆虫学报,2017年60卷01期95-103页,
